code,rid
N,1557663
N,1557808
N,1557679
N,1557682
>,1557715
N,1557871
N,1557685
N,1557686
N,1557872
<,1557932
>,1557946
N,1557908
<,1557957
N,1557727
N,1557802
N,1557804
<,1557809
N,1557870
N,1557982
<,1557983
<,1557984
<,1557985
N,1557986
<,1558021
N,1556797
<,1557981
<,1557987
N,1558057
N,1558058
N,1558059
N,1558060
>,1556649
N,1556990
N,1557059
N,1556769
<,1556807
N,1556812
N,1556820
N,1558056
N,1558061
N,1558083
<,1558084
N,1558085
<,1558086
N,1558087
<,1558082
<,1558088
<,1558265
<,1558426
< Conc Range,1558426
*,1559430
>,1558270
K,1559031
K,1559109
K,1559193
>,1558749
j,1559566
N,1558367
D,1560655
>,1561253
> Conc Range,1561253
K,1561198
j,1561373
<,1560875
N,1559174
N,1559176
<,1561314
N,1559178
<,1561313
N,1559179
<,1561623
N,1559554
<,1559564
<,1561840
k,1562899
>,1562961
> Conc Range,1562961
<,1562401
<,1563003
<,1563002
<,1563046
<,1563045
>,1563771
>,1562296
<,1564017
>,1564468
<,1559175
N,1559177
N,1562460
N,1562448
N,1566136
N,1562459
N,1562457
N,1562455
N,1559555
>,1564372
> Conc Range,1564372
<,1565241
<,1565368
N,1564134
N,1564133
N,1564131
N,1564129
N,1564154
N,1564172
<,1564171
N,1564170
N,1564169
N,1564808
<,1565995
*,1567470
N,1565319
N,1565320
<,1562454
N,1562458
<,1562456
>,1567024
<,1567068
>,1566798
N,1564132
N,1564130
>,1567076
N,1564137
N,1564148
N,1568488
<,1564168
<,1564167
<,1564796
N,1564809
>,1567940
N,1565318
N,1567475
N,1567482
N,1567484
K,1568681
K,1568721
<,1568260
K,1568752
K,1568766
N,1566799
K,1568940
K,1569081
N,1568536
K,1569092
K,1569087
N,1568535
N,1568534
N,1568533
K,1569280
K,1569316
K,1569692
K,1569715
K,1569736
>,1569540
> Conc Range,1569540
K,1569547
<,1567485
<,1567763
N,1568261
N,1569737
N,1568532
N,1568531
<,1570283
<,1570581
<,1570580
<,1570688
N,1570411
N,1570727
<,1570726
N,1570724
N,1570722
N,1570725
<,1570723
<,1570783
N,1570831
N,1570985
N,1570991
N,1570993
N,1570996
N,1571117
N,1571118
>,1571273
*,1571796
*,1571849
*,1571851
*,1571880
*,1571878
*,1571933
*,1571924
*,1571929
*,1571932
*,1571940
*,1571931
*,1571939
*,1571941
*,1571938
*,1571944
*,1572005
*,1572014
*,1572025
*,1572028
*,1572053
*,1572054
*,1572065
*,1572062
*,1572089
*,1572090
*,1572092
*,1572103
*,1572104
*,1572163
*,1572160
*,1572537
*,1572556
N,1571155
N,1571156
<,1572135
<,1572134
*,1572854
*,1572851
*,1572988
*,1572985
*,1572986
*,1573056
*,1573055
*,1573195
*,1573196
*,1573098
*,1573194
>,1572215
> Conc Range,1572215
*,1573319
*,1573285
*,1573320
*,1573369
*,1573366
*,1573530
*,1573532
*,1573534
*,1573611
*,1573614
*,1573604
*,1573613
*,1573607
*,1573620
*,1573625
*,1573623
*,1573683
*,1573684
*,1573730
*,1573731
*,1573729
*,1573915
*,1573916
*,1573912
*,1573913
*,1573914
*,1573917
*,1573919
*,1573968
*,1573970
*,1573967
*,1573965
*,1574166
*,1574185
*,1574186
*,1574188
*,1574199
*,1574201
*,1574229
*,1574244
<,1573498
*,1574260
*,1574261
*,1574263
*,1574259
*,1574415
*,1574416
*,1574414
*,1574454
*,1574446
*,1574473
N,1571727
*,1574548
*,1574546
*,1574543
N,1571728
*,1574598
*,1574576
*,1574639
<,1573660
N,1571729
N,1571786
*,1574815
*,1574811
j,1574844
*,1574866
N,1572165
*,1574887
*,1574880
*,1574900
*,1574896
*,1574906
*,1574911
*,1574912
*,1574908
*,1574905
*,1574977
N,1572437
*,1575118
*,1575122
*,1575119
*,1575121
*,1575117
*,1575143
*,1575144
*,1575145
N,1572562
*,1575180
*,1575177
*,1575181
*,1575178
*,1575179
*,1575337
*,1575336
*,1575234
N,1572564
*,1575335
N,1572565
*,1575419
N,1572566
*,1575418
*,1575556
*,1575553
*,1575554
*,1575561
*,1575560
*,1575562
*,1575590
*,1575591
*,1575662
*,1575665
*,1575661
*,1577326
*,1575684
N,1573034
N,1573313
N,1573420
>,1574779
>,1576029
<,1576026
>,1576028
<,1576685
<,1576684
<,1577389
*,1578443
<,1577861
>,1576971
*,1578904
*,1578901
j,1578979
*,1578985
k,1578994
*,1579039
*,1579040
*,1579001
*,1579002
*,1579043
*,1579041
*,1579038
*,1579093
*,1579091
<,1578248
*,1579089
*,1579111
*,1579112
*,1579148
*,1579149
*,1579147
>,1578341
*,1579228
*,1579226
*,1579222
*,1579251
*,1579252
*,1579248
*,1579250
*,1579314
*,1579311
*,1579356
*,1579357
*,1579377
*,1579373
*,1579378
<,1578607
>,1579345
>,1579427
<,1579688
<,1579687
S,1581817
s,1581817
S,1581814
s,1581814
S,1582224
s,1582224
S,1581816
s,1581816
S,1581815
s,1581815
<,1580771
<,1580770
*,1581592
*,1581590
*,1581657
*,1581659
*,1581698
*,1581701
*,1581728
*,1581729
*,1581727
*,1581731
*,1581770
*,1581756
*,1581768
*,1581769
*,1581771
*,1581785
*,1581782
*,1581783
*,1581822
*,1581834
*,1581868
*,1581867
*,1581869
*,1581865
*,1581866
<,1581247
N,1579418
<,1581445
